# From Jiang et al 2015 RNA sequencing from human neutrophils reveals distinct transcriptional differences associated with chronic inflammatory states,,,,,,,,,,,,
# Supplemental Table 1. Genes identified as expressed in neutrophils  in all 9 subjects,,,,,,,,,,,,
Gene ID,FPKM,,,,,,,,,,,
VIM,389.59,376.477,560.966,419.345,511.673,293.256,467.14,554.449,469.723,4042.62,,
RHOA,413.414,431.35,437.472,436.75,368.143,381.14,531.441,505.196,521.729,4026.64,,
PCBP1,378.997,480.248,476.171,429.919,386.134,440.454,504.548,448.216,437.782,3982.47,,
TXN,384.598,325.016,569.889,382.266,309.293,492.49,582.685,347.831,578.289,3972.36,,
RPL30,723.864,585.228,288.012,452.395,316.228,401.619,424.972,496.98,280.619,3969.92,,
SORL1,364.073,470.66,465.79,513.965,526.202,377.481,307.815,457.618,481.877,3965.48,,
FLOT2,250.022,357.15,470.964,312.003,486.799,489.928,360.386,397.317,824.84,3949.41,,
ARPC5,426.216,466.894,439.388,424.182,493.733,467.468,446.384,381.278,400.426,3945.97,,
MYH9,573.97,323.12,459.527,440.38,358.245,353.527,482.562,472.238,479.544,3943.11,,
RHOG,376.271,346.574,433.403,381.356,412.433,474.783,442.819,435.061,591.237,3893.94,,
MYL12B,464.716,380.492,424.662,429.914,393.116,433.421,466.695,424.194,447.633,3864.84,,
FAM65B,271.353,376.254,434.257,459.403,521.936,402.99,494.231,427.294,472.827,3860.55,,
SELPLG,391.35,411.415,386.986,343.55,435.264,420.229,442.346,452.872,571.905,3855.92,,
TUBA1A,267.029,379.276,422.162,431.807,484.567,522.522,308.103,482.055,506.568,3804.09,,
PNRC1,320.031,330.881,421.003,460.713,464.125,548.771,509.872,336.137,411.91,3803.44,,
IFI30,386.193,294.959,432.39,428.798,681.705,488.291,294.389,334.138,419.004,3759.87,,
NADK,427.587,391.921,439.13,430.254,391.171,480.23,386.235,438.696,369.396,3754.62,,
NCF1C,501.597,340.842,472.705,480.391,290.797,450.458,399.993,533.04,268.167,3737.99,,
CNN2,345.397,388.735,352.379,306.066,451.764,453.162,466.735,449.055,492.672,3705.97,,
GNB2,363.792,375.247,417.504,355.388,385.15,441.041,409.193,432.762,506.877,3686.95,,
RPS9,441.984,450.817,373.658,404.045,402.435,409.845,374.756,546.183,263.412,3667.14,,
RPS11,622.532,512.635,275.575,422.74,329.287,415.481,370.505,469.22,227.418,3645.39,,
LOC100652939,1765.14,358.772,182.259,282.504,195.766,194.995,201.249,234.649,218.224,3633.56,,
ZDHHC18,285.082,387.333,439.134,394.155,421.345,450.692,434.605,421.014,372.691,3606.05,,
CD46,376.269,400.513,495.62,471.515,476.381,389.462,371.955,329.572,288.643,3599.93,,
FMNL1,349.805,374.903,418.186,397.454,386.55,405.783,425.823,462.711,376.083,3597.30,,
ARPC1B,398.058,319.637,387.965,348.498,341.815,406.311,411.469,469.228,513.722,3596.70,,
SH3BGRL3,440.006,398.348,370.091,356.966,234.712,338.431,442.791,491.497,513.672,3586.51,,
LOC100652902,720.131,503.333,273.126,406.306,281.189,375.301,373.382,436.913,216.37,3586.05,,
HBA2,1790.77,134.702,207.863,133.259,266.883,345.324,342.147,255.714,100.67,3577.33,,
CEBPB,271.435,410.65,395.401,155.144,341.655,421.624,521.735,485.28,542.789,3545.71,,
ZFP36L1,197.755,348.372,445.867,430.137,466.128,476.454,281.084,379.899,507.785,3533.48,,
RN7SL1,245.9,161.797,451.361,298.162,409.891,387.767,645.184,308.195,616.719,3524.98,,
APOBEC3A,213.328,471.816,402.512,346.334,417.056,540.526,340.116,365.882,416.941,3514.51,,
GNG10,179.987,364.162,591.787,312.081,468.367,518.913,361.596,246.82,424.481,3468.19,,
PGD,575.969,262.581,379.063,335.916,247.74,330.512,359.911,369.602,604.968,3466.26,,
C10orf54,364.097,352.271,374.619,343.894,315.241,408.884,444.836,433.359,382.667,3419.87,,
MYL12A,366.895,265.008,430.914,338.936,442.487,392.057,368.812,339.363,469.073,3413.55,,
CXCR4,318.125,449.02,356.121,410.735,371.742,407.505,544.561,386.259,167.324,3411.39,,
